wyscout,skillcorner,date,home,away
5414331,1381511,2023-11-21,Andorra,Israel
5541745,1381516,2023-11-21,Austria,Germany
5414328,1381513,2023-11-21,Croatia,Armenia
5414327,1381514,2023-11-21,Gibraltar,Netherlands
5414326,1381515,2023-11-21,Greece,France
5414332,,2023-11-21,Kosovo,Belarus
5414330,1370341,2023-11-21,Romania,Switzerland
5414329,1381512,2023-11-21,Wales,Turkey
5414322,1381507,2023-11-20,Albania,Faroe Islands
5414321,1266810,2023-11-20,Czech Republic,Moldova
5414319,1381509,2023-11-20,North Macedonia,England
5414323,1381506,2023-11-20,Northern Ireland,Denmark
5414325,1385735,2023-11-20,San Marino,Finland
5414324,1381505,2023-11-20,Slovenia,Kazakhstan
5414320,1381508,2023-11-20,Ukraine,Italy
5414312,1381498,2023-11-19,Belgium,Azerbaijan
5414317,1381500,2023-11-19,Bosnia-Herzegovina,Slovakia
5414310,1370343,2023-11-19,Hungary,Montenegro
5414318,1381499,2023-11-19,Liechtenstein,Luxembourg
5414316,1381501,2023-11-19,Portugal,Iceland
5414315,1381502,2023-11-19,Scotland,Norway
5414311,1381496,2023-11-19,Serbia,Bulgaria
5414314,1381503,2023-11-19,Spain,Georgia
5414313,1381497,2023-11-19,Sweden,Estonia
5414303,1381489,2023-11-18,Armenia,Wales
5414305,1386944,2023-11-18,Belarus,Andorra
5414307,1381494,2023-11-18,France,Gibraltar
5541744,1381517,2023-11-18,Germany,Turkey
5414309,1381492,2023-11-18,Israel,Romania
5414304,1381491,2023-11-18,Latvia,Croatia
5414306,1381495,2023-11-18,Netherlands,Republic of Ireland
5414308,1381493,2023-11-18,Switzerland,Kosovo
5414302,1381485,2023-11-17,Denmark,Slovenia
5414298,1381488,2023-11-17,England,Malta
5414297,1381484,2023-11-17,Finland,Northern Ireland
5414299,1381487,2023-11-17,Italy,North Macedonia
5414296,1385734,2023-11-17,Kazakhstan,San Marino
5414301,1381483,2023-11-17,Moldova,Albania
5414300,1381486,2023-11-17,Poland,Czech Republic
5414289,1381474,2023-11-16,Azerbaijan,Sweden
5414291,1381472,2023-11-16,Bulgaria,Hungary
5414290,1381473,2023-11-16,Cyprus,Spain
5414288,1381475,2023-11-16,Estonia,Austria
5414287,1381476,2023-11-16,Georgia,Scotland
5414295,1381477,2023-11-16,Liechtenstein,Portugal
5414294,1381478,2023-11-16,Luxembourg,Bosnia-Herzegovina
5414292,1381480,2023-11-16,Montenegro,Lithuania
5414293,1381479,2023-11-16,Slovakia,Iceland
5414247,1370342,2023-11-15,Israel,Switzerland
5414272,1381471,2023-11-12,Kosovo,Israel
5536668,1193707,2023-10-18,Mexico,Germany
5414280,1381470,2023-10-17,England,Italy
5414285,1381464,2023-10-17,Finland,Kazakhstan
5414283,1381467,2023-10-17,Lithuania,Hungary
5414281,1381469,2023-10-17,Malta,Ukraine
5414284,1381466,2023-10-17,Northern Ireland,Slovenia
5414286,1385733,2023-10-17,San Marino,Denmark
5414282,1381468,2023-10-17,Serbia,Montenegro
5414273,1381457,2023-10-16,Azerbaijan,Austria
5414276,1381461,2023-10-16,Belgium,Sweden
5414278,1381459,2023-10-16,Bosnia-Herzegovina,Portugal
5414274,1381463,2023-10-16,Gibraltar,Republic of Ireland
5414275,1381462,2023-10-16,Greece,Netherlands
5414277,1381460,2023-10-16,Iceland,Liechtenstein
5414279,1381458,2023-10-16,Luxembourg,Slovakia
5414265,1381452,2023-10-15,Czech Republic,Faroe Islands
5414264,1381450,2023-10-15,Georgia,Cyprus
5414267,1193645,2023-10-15,Norway,Spain
5414270,1381454,2023-10-15,Poland,Moldova
5414271,1381453,2023-10-15,Romania,Andorra
5414266,1386943,2023-10-15,Switzerland,Belarus
5414268,1381456,2023-10-15,Turkey,Latvia
5414269,1381455,2023-10-15,Wales,Croatia
5414259,1381447,2023-10-14,Bulgaria,Lithuania
5414263,1381448,2023-10-14,Denmark,Kazakhstan
5414262,1370340,2023-10-14,Hungary,Serbia
5414261,1381449,2023-10-14,Italy,Malta
5414258,1385660,2023-10-14,Northern Ireland,San Marino
5414260,1381446,2023-10-14,Slovenia,Finland
5414257,1381445,2023-10-14,Ukraine,North Macedonia
5532803,1251601,2023-10-14,United States,Germany
5414252,1381441,2023-10-13,Austria,Belgium
5414253,1381437,2023-10-13,Estonia,Azerbaijan
5414254,1381440,2023-10-13,Iceland,Luxembourg
5414256,1381442,2023-10-13,Liechtenstein,Bosnia-Herzegovina
5414250,1381438,2023-10-13,Netherlands,France
5414255,1381443,2023-10-13,Portugal,Slovakia
5414251,1381439,2023-10-13,Republic of Ireland,Greece
5414245,1381433,2023-10-12,Albania,Czech Republic
5414248,1381431,2023-10-12,Andorra,Kosovo
5414249,1386942,2023-10-12,Belarus,Romania
5414243,1381434,2023-10-12,Croatia,Turkey
5414242,1381436,2023-10-12,Cyprus,Norway
5414246,1381432,2023-10-12,Faroe Islands,Poland
5414244,1381429,2023-10-12,Latvia,Armenia
5414241,1368349,2023-10-12,Spain,Scotland
5414236,1381424,2023-09-12,Belgium,Estonia
5522737,,2023-09-12,Germany,France
5414239,1386941,2023-09-12,Israel,Belarus
5414234,1381426,2023-09-12,Italy,Ukraine
5414235,1381425,2023-09-12,Malta,North Macedonia
5414228,1381428,2023-09-12,Norway,Georgia
5414240,1381420,2023-09-12,Romania,Kosovo
5414229,1381427,2023-09-12,Spain,Cyprus
5414237,1381423,2023-09-12,Sweden,Austria
5414238,1381422,2023-09-12,Switzerland,Andorra
5414227,1381413,2023-09-11,Armenia,Croatia
5414231,1381418,2023-09-11,Iceland,Bosnia-Herzegovina
5414230,1381419,2023-09-11,Latvia,Wales
5414232,1381417,2023-09-11,Portugal,Luxembourg
5414233,1381416,2023-09-11,Slovakia,Liechtenstein
5414224,1381410,2023-09-10,Albania,Poland
5414219,1381407,2023-09-10,Faroe Islands,Moldova
5414221,1381405,2023-09-10,Finland,Denmark
5414223,1381411,2023-09-10,Greece,Gibraltar
5414218,1381412,2023-09-10,Kazakhstan,Northern Ireland
5414225,1381404,2023-09-10,Lithuania,Serbia
5414220,1381409,2023-09-10,Montenegro,Bulgaria
5414222,1381406,2023-09-10,Republic of Ireland,Netherlands
5414226,1385659,2023-09-10,San Marino,Slovenia
5414213,,2023-09-09,Andorra,Belarus
5414211,,2023-09-09,Azerbaijan,Belgium
5414215,,2023-09-09,Estonia,Sweden
5531639,,2023-09-09,Germany,Japan
5414217,,2023-09-09,Kosovo,Switzerland
5414214,,2023-09-09,North Macedonia,Italy
5414216,,2023-09-09,Romania,Israel
5414212,,2023-09-09,Ukraine,England
5414209,,2023-09-08,Bosnia-Herzegovina,Liechtenstein
5414206,,2023-09-08,Croatia,Latvia
5414205,,2023-09-08,Cyprus,Scotland
5414204,,2023-09-08,Georgia,Spain
5414210,,2023-09-08,Luxembourg,Iceland
5414208,,2023-09-08,Slovakia,Portugal
5414207,,2023-09-08,Turkey,Armenia
5414199,,2023-09-07,Czech Republic,Albania
5414202,,2023-09-07,Denmark,San Marino
5414196,,2023-09-07,France,Republic of Ireland
5414195,,2023-09-07,Kazakhstan,Finland
5414201,,2023-09-07,Lithuania,Montenegro
5414197,,2023-09-07,Netherlands,Greece
5414198,,2023-09-07,Poland,Faroe Islands
5414200,,2023-09-07,Serbia,Hungary
5414203,,2023-09-07,Slovenia,Northern Ireland
5414188,,2023-06-20,Austria,Sweden
5414193,,2023-06-20,Bosnia-Herzegovina,Luxembourg
5414191,,2023-06-20,Bulgaria,Serbia
5414189,,2023-06-20,Estonia,Belgium
5414187,,2023-06-20,Faroe Islands,Albania
5463853,,2023-06-20,Germany,Colombia
5414190,,2023-06-20,Hungary,Lithuania
5414192,,2023-06-20,Iceland,Portugal
5414194,,2023-06-20,Liechtenstein,Slovakia
5414186,1266811,2023-06-20,Moldova,Poland
5414185,,2023-06-20,Norway,Cyprus
5414184,,2023-06-20,Scotland,Georgia
5414172,,2023-06-19,Armenia,Latvia
5414183,,2023-06-19,Belarus,Kosovo
5414173,,2023-06-19,England,North Macedonia
5414179,,2023-06-19,Finland,San Marino
5414176,952207,2023-06-19,France,Greece
5414182,,2023-06-19,Israel,Andorra
5414178,,2023-06-19,Northern Ireland,Kazakhstan
5414175,,2023-06-19,Republic of Ireland,Gibraltar
5414180,,2023-06-19,Slovenia,Denmark
5414181,,2023-06-19,Switzerland,Romania
5414177,,2023-06-19,Turkey,Wales
5414174,,2023-06-19,Ukraine,Malta
5414167,,2023-06-17,Albania,Moldova
5414164,,2023-06-17,Azerbaijan,Estonia
5414169,,2023-06-17,Belgium,Austria
5414166,,2023-06-17,Cyprus,Georgia
5414168,,2023-06-17,Faroe Islands,Czech Republic
5414170,,2023-06-17,Iceland,Slovakia
5414161,,2023-06-17,Lithuania,Bulgaria
5414162,,2023-06-17,Luxembourg,Liechtenstein
5414165,,2023-06-17,Montenegro,Hungary
5414163,,2023-06-17,Norway,Scotland
5414171,911559,2023-06-17,Portugal,Bosnia-Herzegovina
5414158,,2023-06-16,Andorra,Switzerland
5414159,,2023-06-16,Belarus,Israel
5414155,,2023-06-16,Denmark,Northern Ireland
5414156,,2023-06-16,Finland,Slovenia
5414152,,2023-06-16,Gibraltar,France
5414151,,2023-06-16,Greece,Republic of Ireland
5414160,,2023-06-16,Kosovo,Romania
5414154,,2023-06-16,Latvia,Turkey
5414149,,2023-06-16,Malta,England
5414150,,2023-06-16,North Macedonia,Ukraine
5463840,,2023-06-16,Poland,Germany
5414157,,2023-06-16,San Marino,Kazakhstan
5414153,,2023-06-16,Wales,Armenia
5459001,,2023-06-12,Germany,Ukraine
5414142,,2023-03-28,Georgia,Norway
5452656,,2023-03-28,Germany,Belgium
5414148,,2023-03-28,Kosovo,Andorra
5414147,,2023-03-28,Romania,Belarus
5414143,,2023-03-28,Scotland,Spain
5414146,,2023-03-28,Switzerland,Israel
5414144,,2023-03-28,Turkey,Croatia
5414145,,2023-03-28,Wales,Latvia
5414139,,2023-03-27,Austria,Estonia
5414140,,2023-03-27,Hungary,Bulgaria
5414137,,2023-03-27,Moldova,Czech Republic
5414141,,2023-03-27,Montenegro,Serbia
5414134,,2023-03-27,Netherlands,Gibraltar
5414136,731071,2023-03-27,Poland,Albania
5414135,952208,2023-03-27,Republic of Ireland,France
5414138,,2023-03-27,Sweden,Azerbaijan
5414127,726848,2023-03-26,England,Ukraine
5414126,,2023-03-26,Kazakhstan,Denmark
5414129,,2023-03-26,Liechtenstein,Iceland
5414133,,2023-03-26,Luxembourg,Portugal
5414130,,2023-03-26,Malta,Italy
5414131,,2023-03-26,Northern Ireland,Finland
5414132,,2023-03-26,Slovakia,Bosnia-Herzegovina
5414128,,2023-03-26,Slovenia,San Marino
5414125,,2023-03-25,Andorra,Romania
5414120,,2023-03-25,Armenia,Turkey
5414121,,2023-03-25,Belarus,Switzerland
5414123,,2023-03-25,Croatia,Wales
5444933,,2023-03-25,Germany,Peru
5414124,,2023-03-25,Israel,Kosovo
5414119,,2023-03-25,Scotland,Cyprus
5414122,,2023-03-25,Spain,Norway
5414116,,2023-03-24,Austria,Azerbaijan
5414117,,2023-03-24,Bulgaria,Montenegro
5414113,726849,2023-03-24,Czech Republic,Poland
5414111,952209,2023-03-24,France,Netherlands
5414112,,2023-03-24,Gibraltar,Greece
5414114,,2023-03-24,Moldova,Faroe Islands
5414118,,2023-03-24,Serbia,Lithuania
5414115,722109,2023-03-24,Sweden,Belgium
5414110,,2023-03-23,Bosnia-Herzegovina,Iceland
5414106,,2023-03-23,Denmark,Finland
5414104,,2023-03-23,Italy,England
5414103,,2023-03-23,Kazakhstan,Slovenia
5414105,,2023-03-23,North Macedonia,Malta
5414108,,2023-03-23,Portugal,Liechtenstein
5414107,,2023-03-23,San Marino,Northern Ireland
5414109,,2023-03-23,Slovakia,Luxembourg
